Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Caleb Thielbar","CHC",3,3,0,3.68446,58,0,1,16,,58,243,51,26,24,7,21,,2,61,9.46719,3.23077,2.93032,1.154,0.251196,0.085723,0.16547321528196335,0.230435,1.23478,0.285279,0.752194,,,3.85897,0.470113,0.537481,744.2000122070312,,,,,,,332.5,5.732758620689655,321,5.5344827586206895,,,,,,,,,,,,,,,,,,,"Caleb Thielbar","10078",573204
"Drew Thorpe","CHW",4,5,6,4.79173,13,13,0,0,,73,318,76,42,39,12,27,,2,56,6.88893,3.30807,2.08246,1.472,0.175285,0.0841719,0.09111284464597702,0.263131,1.41142,0.289757,0.711406,,,4.92971,0.466164,0.335188,999,,,,,,,220.00000000000003,3.013698630136987,234,3.2054794520547945,,,,,,,,,,,,,,,,,,,"Drew Thorpe","31967",689672
"David Festa","MIN",3,3,1,3.72797,35,3,0,1,,50,207,45,22,21,6,16,,2,53,9.64755,2.90624,3.3196,1.088,0.256169,0.0771686,0.17900047451257706,0.235527,1.2232,0.296395,0.736702,,,3.64918,0.458035,0.372835,616,,,,,,,235.2,4.704,228,4.56,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Aaron Ashby","MIL",3,3,0,3.48025,64,0,0,13,,64,274,57,27,25,6,29,,3,67,9.42221,4.09731,2.29961,0.779,0.244768,0.106439,0.13832936435937881,0.234363,1.33998,0.30216,0.74912,,,3.67301,0.450762,0.672139,547.27001953125,,,,,,,341.6,5.3375,332,5.1875,,,,,,,,,,,,,,,,,,,"Aaron Ashby","23550",676879
"Gabriel Hughes","COL",4,6,4,5.25014,29,11,0,1,,83,367,96,52,48,13,30,,3,58,6.34044,3.2459,1.95337,1.38,0.158642,0.0812148,0.07742738723754883,0.28696,1.51982,0.316137,0.68561,,,4.92344,0.450587,0.563533,999,,,,,,,225.70000000000007,2.7192771084337357,267,3.216867469879518,,,,,,,,,,,,,,,,,,,"Gabriel Hughes","sa3020661",687312
"Bryan Baker","TBR",3,3,0,3.86655,63,0,3,12,,63,266,56,29,27,9,23,,2,69,9.83797,3.27454,3.00438,1.223,0.259176,0.0862659,0.1729096621274948,0.233024,1.25464,0.291046,0.745127,,,3.89996,0.448931,0.368416,630.1300048828125,,,,,,,335.9000000000001,5.331746031746033,324,5.142857142857143,,,,,,,,,,,,,,,,,,,"Bryan Baker","19804",641329
"Dennis Santana","PIT",3,3,0,4.02557,68,0,26,5,,68,291,65,33,30,8,25,,3,64,8.42286,3.27964,2.56823,1.048,0.218433,0.0850521,0.13338104635477066,0.247375,1.32336,0.298317,0.725462,,,4.00103,0.447581,0.589365,152.8699951171875,,,,,,,429.80000000000007,6.320588235294118,430,6.323529411764706,,,,,,,,,,,,,,,,,,,"Dennis Santana","17878",642701
"Robert Gasser","MIL",3,3,2,3.97516,39,5,0,1,,61,258,58,29,27,8,18,,4,57,8.39667,2.71834,3.0889,1.252,0.220387,0.071348,0.14903881400823593,0.24397,1.24705,0.287678,0.733366,,,4.15707,0.445135,0.41487,553.7999877929688,,,,,,,254.2000000000001,4.1672131147541,253,4.147540983606557,,,,,,,,,,,,,,,,,,,"Robert Gasser","29812",688107
"Tyler Holton","DET",4,3,0,3.72949,72,0,1,14,,72,304,71,33,30,8,20,,2,62,7.7947,2.47027,3.1554,1.034,0.205347,0.0650781,0.1402691751718521,0.251198,1.25646,0.296116,0.734784,,,3.82184,0.434949,0.397269,730.5999755859375,,,,,,,368.80000000000007,5.122222222222224,375,5.208333333333333,,,,,,,,,,,,,,,,,,,"Tyler Holton","26231",663947
"Justin Topa","MIN",3,3,0,4.03523,63,0,12,10,,63,271,64,31,28,7,22,,3,53,7.63749,3.07457,2.48408,0.935,0.197132,0.0793581,0.11777390539646149,0.259858,1.35967,0.308294,0.717693,,,3.94964,0.434086,0.296819,698.3300170898438,,,,,,,344.70000000000005,5.471428571428572,355,5.634920634920635,,,,,,,,,,,,,,,,,,,"Justin Topa","15145",623437
