Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Bonzagni","TEX",0.049,0.0703,0.0591,5.02065,0.2505,0.1595,0,0,,1,4.486,1.0914,0.6015,0.55785,0.137556,0.4644,0.0062,0.0481,0.6613,5.9517,4.1796,1.42399,1.238,0.147414,0.103522,0.043892115354537964,0.27467,1.5558,0.300457,0.700033,0.475433,,5.13826,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Paul Bonzagni","sa3022587",805823
"Carson Spiers","CIN",0.0462,0.0682,0.0422,5.0913,0.4228,0.1228,0,0,,1,4.397,1.0592,0.6016,0.5657,0.181556,0.371,0.009,0.0527,0.8141,7.3269,3.339,2.19434,1.634,0.185149,0.0843757,0.10077327489852905,0.266579,1.4302,0.294745,0.704579,0.384159,,5.13826,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Carson Spiers","27685",686730
"David Hagaman","ARI",0.0487,0.0727,0.06,5.31594,0.1754,0.1754,0,0,,1,4.496,1.1071,0.6306,0.59066,0.149667,0.4452,0.0041,0.045,0.7065,6.3585,4.0068,1.58693,1.347,0.15714,0.0990214,0.05811833590269089,0.276374,1.5523,0.303982,0.686419,0.413575,,5.1384,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"David Hagaman","sa3032946",701908
"Ian Bedell","STL",0.0491,0.0723,0.0657,5.02299,0.1754,0.1754,0,0,,1,4.425,1.0685,0.5955,0.55811,0.162556,0.3834,0.0041,0.0511,0.7062,6.3558,3.4506,1.84194,1.463,0.159593,0.0866441,0.07294914871454239,0.267761,1.4519,0.290205,0.699489,0.382104,,5.13946,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ian Bedell","sa3014538",678016
"Jose Fleury","HOU",0.0512,0.069,0.0615,5.04981,0.2142,0.1672,0,0,,1,4.404,1.0422,0.5986,0.56109,0.168889,0.4188,0.005,0.0345,0.7755,6.9795,3.7692,1.85172,1.52,0.17609,0.0950954,0.08099455386400223,0.263801,1.461,0.290493,0.704256,0.391489,,5.13959,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jose Fleury","sa3019255",800067
"Danny Wirchansky","SEA",0.0497,0.0672,0.056,4.73427,0.3329,0.1419,0,0,,1,4.387,1.0511,0.5641,0.52603,0.161556,0.3702,0.0083,0.0388,0.6612,5.9508,3.3318,1.78606,1.454,0.150718,0.0843857,0.06633233278989792,0.264228,1.4213,0.281926,0.717249,0.389636,,5.13996,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Danny Wirchansky","sa3023469",688024
"Shane Panzini","KCR",0.0481,0.0705,0.0537,5.16177,0.2785,0.1535,0,0,,1,4.472,1.0772,0.6127,0.57353,0.149222,0.4532,0.0069,0.041,0.7074,6.3666,4.0788,1.5609,1.343,0.158184,0.101342,0.05684258043766022,0.270803,1.5304,0.297317,0.694444,0.404117,,5.14283,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Shane Panzini","sa3018257",695556
"Yon Castro",,0.0467,0.0662,0.0388,5.06214,0.4772,0.1112,0,0,,1,4.432,1.056,0.5992,0.56246,0.164333,0.4158,0.0124,0.043,0.7498,6.7482,3.7422,1.80327,1.479,0.169179,0.0938177,0.07536100596189499,0.265781,1.4718,0.291483,0.702727,0.378998,,5.14827,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yon Castro","sa3005848",679005
"Logan Workman","TBR",0.0493,0.072,0.0644,5.06088,0.1812,0.1742,0,0,,1,4.349,1.0777,0.598,0.56232,0.189778,0.3127,0.0042,0.0336,0.7446,6.7014,2.8143,2.3812,1.708,0.171212,0.0719016,0.09931018948554993,0.269243,1.3904,0.289384,0.704536,0.370996,,5.15195,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Logan Workman","sa3017313",694312
"Zach Willeman",,0.0487,0.0722,0.0633,5.07672,0.1903,0.1723,0,0,,1,4.445,1.123,0.6067,0.56408,0.148889,0.3867,0.0045,0.0426,0.6033,5.4297,3.4803,1.56012,1.34,0.135726,0.0869966,0.048728905618190765,0.279652,1.5097,0.298486,0.693945,0.456013,,5.15199,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Zach Willeman","sa3008443",657116
"Blake Beers","ATH",0.0502,0.0688,0.0572,5.06142,0.2587,0.1577,0,0,,1,4.406,1.0813,0.6012,0.56238,0.163889,0.3652,0.0062,0.057,0.689,6.201,3.2868,1.88664,1.475,0.156378,0.082887,0.0734906867146492,0.271424,1.4465,0.293017,0.694545,0.411689,,5.15429,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Blake Beers","sa3018004",676275
"Jeff Bain",,0.0469,0.0686,0.0454,5.14449,0.3857,0.1307,0,0,,1,4.398,1.0948,0.6071,0.57161,0.177111,0.3293,0.0098,0.0489,0.7086,6.3774,2.9637,2.15184,1.594,0.161119,0.0748749,0.08624375611543655,0.272352,1.4241,0.292809,0.694643,0.362986,,5.15498,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jeff Bain","sa829808",656206
"Brooks Gosswein",,0.0492,0.0694,0.0579,4.95855,0.2744,0.1544,0,0,,1,4.499,1.0656,0.5927,0.55095,0.138667,0.4981,0.0068,0.044,0.704,6.336,4.4829,1.41337,1.248,0.156479,0.110713,0.045765720307826996,0.269302,1.5637,0.297644,0.708983,0.440992,,5.1561,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brooks Gosswein","sa3017315",694747
"Nick Dombkowski","PIT",0.0443,0.0701,0.0433,5.00022,0.4278,0.1218,0,0,,1,4.438,1.0824,0.5928,0.55558,0.157111,0.4028,0.0109,0.0368,0.6694,6.0246,3.6252,1.66187,1.414,0.150834,0.0907616,0.060072094202041626,0.270708,1.4852,0.291715,0.705318,0.372416,,5.15758,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nick Dombkowski","sa3017201",694298
"Drew Hutchison",,0.0461,0.072,0.0526,5.14107,0.2983,0.1493,0,0,,1,4.477,1.1008,0.6116,0.57123,0.149556,0.4266,0.0083,0.039,0.6585,5.9265,3.8394,1.5436,1.346,0.147085,0.095287,0.05179808288812637,0.274418,1.5274,0.296954,0.694829,0.418336,,5.15916,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Drew Hutchison","10732",571800
"Adam Maier","ATL",0.0513,0.0694,0.06,5.2074,0.1994,0.1704,0,0,,1,4.482,1.14,0.6216,0.5786,0.146444,0.4038,0.0048,0.053,0.625,5.625,3.6342,1.5478,1.318,0.139447,0.0900937,0.049352966248989105,0.283216,1.5438,0.305357,0.688837,0.464954,,5.15931,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Adam Maier","sa3020883",683264
