Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cal Quantrill",,4.17696,6.37646,5.63157,5.34001,16,16,0,0,,81.792,359.83,85.0088,51.47,48.53,12.9512,31.62,0.235318,4.3618,61.239,6.73845,3.47931,1.93672,1.42509,0.170189,0.0878749,0.08231403678655624,0.262496,1.42592,0.288626,0.66153,,,5.01592,0.5053,0.0312492,999,,,,,,,239.9000000000001,2.925609756097562,255,3.1097560975609757,,,,,,,,,,,,,,,,,,,"Cal Quantrill","19312",615698
"Will Vest","DET",2.52279,1.73652,0,3.76914,68,0,0,11.6776,,46.8489,197.407,43.4841,21.14,19.62,4.60614,14.5331,0.798919,2.23903,45.5477,8.75003,2.79191,3.13406,0.884872,0.23073,0.07362,0.15710963308811188,0.240729,1.23839,0.297958,0.715109,,,3.54285,0.487977,0.364806,335.5,,,,,,,263.5,5.6063829787234045,259,5.51063829787234,,,,,,,,,,,,,,,,,,,"Will Vest","19769",676684
"Pete Fairbanks","MIA",2.22581,1.76705,0,3.6796,62,0,0,4.1289,,42.4611,177.789,37.0669,18.76,17.36,4.16498,14.8046,0.810495,1.93689,42.241,8.95335,3.13797,2.85323,0.882804,0.237591,0.0832707,0.15431980043649673,0.230161,1.22162,0.286998,0.719182,,,3.6035,0.48004,0.301907,113.11000061035156,,,,,,,214.40000000000003,5.104761904761905,207,4.928571428571429,,,,,,,,,,,,,,,,,,,"Pete Fairbanks","17998",664126
"Kody Funderburk","MIN",2.44567,1.64835,0,3.81961,65,0,0,9.4288,,45.9707,198.023,42.4693,20.97,19.51,2.96681,19.2147,1.0972,2.55724,42.4191,8.30469,3.76179,2.20764,0.580834,0.214213,0.0970324,0.11718039959669113,0.240959,1.34181,0.301856,0.707695,,,3.54945,0.479043,0.311099,737.5599975585938,,,,,,,248.30000000000007,5.397826086956523,245,5.326086956521739,,,,,,,,,,,,,,,,,,,"Kody Funderburk","24993",681892
"Tyler Kinley",,3.66954,3.78454,0,3.99938,64,0,0,0,,64,270.359,52.9791,30.41,28.44,8.12862,25.6073,1.54491,3.13841,66.5769,9.36238,3.60102,2.59992,1.14309,0.246254,0.0947159,0.15153787285089493,0.219272,1.22791,0.268714,0.716843,,,4.05319,0.477797,0.352583,659.219970703125,,,,,,,284.40000000000003,4.4437500000000005,263,4.109375,,,,,,,,,,,,,,,,,,,"Tyler Kinley","18297",641755
"José Alvarado","PHI",2.53242,1.68419,0,3.74906,64,0,0,12.5227,,44.3631,187.999,38.6316,19.92,18.48,4.00942,17.9175,1.0084,2.10139,47.1818,9.57183,3.63495,2.63328,0.813397,0.250968,0.0953062,0.15566153079271317,0.229977,1.27469,0.29645,0.719122,,,3.53672,0.476837,0.306499,630.3300170898438,,,,,,,261,5.931818181818182,254,5.7727272727272725,,,,,,,,,,,,,,,,,,,"Jose Alvarado","17780",621237
"Raisel Iglesias","ATL",2.64014,1.66751,0,3.90074,66,0,0,4.5226,,43.6532,181.28,40.0173,20.28,18.92,5.69045,10.6982,0.970221,1.58574,44.7487,9.22586,2.20565,4.18283,1.1732,0.246849,0.0590148,0.18783383443951607,0.236794,1.16178,0.289539,0.71196,,,3.62376,0.474683,0.306483,70.16999816894531,,,,,,,218.8,4.972727272727273,213,4.840909090909091,,,,,,,,,,,,,,,,,,,"Raisel Iglesias","17130",628452
"Brusdar Graterol","LAD",2.31577,1.10199,0,3.23879,54,0,0,11.4914,,35.8467,147.825,33.0806,13.9,12.9,2.12214,8.45507,0.821836,1.92716,25.7491,6.4648,2.12281,3.0454,0.532803,0.174187,0.0571967,0.11699036508798599,0.240688,1.1587,0.282543,0.716606,,,3.337,0.472905,0.494579,999,,,,,,,222,6.166666666666667,220,6.111111111111111,,,,,,,,,,,,,,,,,,,"Brusdar Graterol","20367",660813
"Cole Sands","MIN",2.543,1.85347,0,4.1807,68,0,0,14.7893,,48.0924,204.256,45.1592,23.97,22.34,5.37101,14.9938,0.888668,2.57817,44.8057,8.38494,2.80594,2.98828,1.00513,0.219361,0.0734069,0.1459537148475647,0.241902,1.25078,0.291473,0.687451,,,3.81981,0.468204,0.110559,551.8300170898438,,,,,,,272.70000000000005,5.681250000000001,271,5.645833333333333,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Tink Hence","STL",1.13863,1.16333,0.512704,3.70488,16,2,0,0,,26.9158,112.23,23.4675,11.84,11.08,2.78758,8.58339,0.482695,1.08161,28.3205,9.46968,2.87007,3.29945,0.932098,0.252343,0.0764804,0.17586297541856766,0.228806,1.19078,0.289404,0.718015,,,3.45437,0.467919,0.329341,999,,,,,,,129.10000000000002,4.7814814814814826,122,4.518518518518518,,,,,,,,,,,,,,,,,,,"Tink Hence","sa3014709",693311
"Evan Sisk","PIT",1.99616,1.26469,0,3.54034,52,0,0,6.837,,38.3607,164.188,32.9257,16.21,15.09,2.54889,17.3305,1.10123,1.95255,41.2394,9.67538,4.06599,2.37959,0.598008,0.251171,0.105552,0.14561853557825089,0.227222,1.3101,0.300412,0.729232,,,3.35687,0.463862,0.395886,999,,,,,,,211.5,5.565789473684211,204,5.368421052631579,,,,,,,,,,,,,,,,,,,"Evan Sisk","24995",681895
