Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Justin Turner",,57,245,217,54,37,10,0,6,26,26,22,0,49,3,2,1,,1,0,0.246668,0.0890001,0.198833,0.447611,0.322696,0.376418,0.308781,0.699114,0.12975,2.92691,0.290782,-1.05032,-0.306592,28.0984,-0.850258,96.8244,-1.35691,0.0532078,-2.2764721512794495,-5.32179220020771,0.0709631,999,,,,,,,247.7,4.345614035,247.7,4.345614035,,,,,,,,,,,,,,,,,,,"Justin Turner","5235",457759
"John Rave","KCR",34,147,131,30,19,6,1,4,16,15,14,0,38,1,1,1,,4,1,0.226496,0.0923001,0.258299,0.357338,0.301128,0.365762,0.293597,0.66689,0.139266,5.36035,0.288312,-0.0455833,0.0785636,15.0469,-2.32229,83.7753,0.0329803,-0.0251173,-2.7780598253011703,-1.6001172363758087,0.069708,999,,,,,,,147.5,4.338235294,147.5,4.338235294,,,,,,,,,,,,,,,,,,,"John Rave","26284",670231
"Eric Wagaman","MIA",23,98,90,23,15,5,0,2,10,11,6,0,20,1,1,0,,1,0,0.251566,0.0642996,0.202783,0.317086,0.302494,0.39823,0.304639,0.700724,0.146664,4.01854,0.295043,-0.0787212,-0.0815695,10.9098,-0.669643,92.9316,-0.160291,-0.00248593,-0.9812864065170288,-1.6024859573226422,0.0692361,568.2000122070312,,,,,,,95,4.130434782,95,4.130434782,,,,,,,,,,,,,,,,,,,"Eric Wagaman","23395",676572
"Vidal Bruján","ATL",13,56,50,12,8,3,0,1,6,5,5,0,12,1,0,0,,1,1,0.233416,0.0816004,0.209455,0.389585,0.303707,0.347269,0.287238,0.650976,0.113853,4.88581,0.284347,0.0465055,-0.00803091,5.44302,-1.17381,81.8816,0.0384746,-0.176447,-1.1640724427998066,-0.07644747942686081,0.0637012,999,,,,,,,52.4,4.03076923,52.4,4.03076923,,,,,,,,,,,,,,,,,,,"Vidal Brujan","20536",660644
"Abimelec Ortiz","TEX",11,49,44,10,6,2,0,2,6,6,4,0,12,0,0,0,,0,0,0.227582,0.0830999,0.253873,0.327329,0.298092,0.407335,0.30654,0.705427,0.179753,3.56646,0.270585,-0.00390496,-0.0495457,5.53054,-0.25919,97.1132,-0.0534506,0,-0.22017057240009308,-0.875,0.0605004,999,,,,,,,48.6,4.418181818,48.6,4.418181818,,,,,,,,,,,,,,,,,,,"Abimelec Ortiz","sa3016926",694673
"Ben Rortvedt","CIN",11,45,39,8,6,2,0,1,4,4,4,0,12,1,0,0,,0,0,0.207987,0.0938002,0.26103,0.359347,0.29136,0.324705,0.276147,0.616065,0.116719,3.21674,0.267049,-0.0309498,-0.0468186,3.95101,-1.34246,69.8749,-0.0777684,-0.235837,-1.6773299500346184,0.6391626596450806,0.0596682,999,,,,,,,36,3.272727272,36,3.272727272,,,,,,,,,,,,,,,,,,,"Ben Rortvedt","20287",666163
"Samad Taylor","SEA",34,147,131,30,21,5,1,3,15,13,13,0,38,1,1,1,,6,2,0.226336,0.0895001,0.255564,0.350206,0.300358,0.335826,0.283436,0.636184,0.10949,5.61658,0.294571,-0.0285955,0.296217,13.8341,-3.5351,86.3234,0.267622,-0.101219,-2.1019424200057983,-2.376219153404236,0.0594783,999,,,,,,,133.2,3.917647058,133.2,3.917647058,,,,,,,,,,,,,,,,,,,"Samad Taylor","22274",669392
"Korey Lee","CHW",32,128,119,26,17,5,0,4,12,13,7,0,34,1,1,0,,2,1,0.218554,0.0570997,0.26934,0.211999,0.26643,0.360412,0.273228,0.626842,0.141858,3.93409,0.272285,0.0581082,-0.0348442,10.9852,-4.139,72.503,0.023264,-0.410506,-4.125009018927813,2.0894937813282013,0.0573875,999,,,,,,,103.7,3.240625,103.7,3.240625,,,,,,,,,,,,,,,,,,,"Korey Lee","25543",686676
"MJ Melendez",,39,168,151,33,19,7,1,6,18,20,14,0,48,1,1,0,,3,1,0.215981,0.0849999,0.283524,0.299798,0.287521,0.39533,0.296978,0.682851,0.179349,4.71772,0.268381,-0.129169,-0.105268,17.6575,-2.19295,88.7165,-0.234437,-0.853441,-2.4749058187007904,-2.6534408926963806,0.0570389,999,,,,,,,164.1,4.207692307,164.1,4.207692307,,,,,,,,,,,,,,,,,,,"MJ Melendez","22197",669004
"Rodolfo Durán","SDP",5,19,18,4,3,1,0,1,2,2,1,0,4,0,0,0,,0,0,0.223969,0.055001,0.233317,0.235735,0.271403,0.366992,0.277951,0.638395,0.143023,3.68824,0.267354,-0.00821408,-0.0153659,1.7214,-0.547225,79.7291,-0.02358,0,-0.4848646130412817,0.375,0.0541156,999,,,,,,,19.7,3.94,19.7,3.94,,,,,,,,,,,,,,,,,,,"Rodolfo Duran","sa877500",660710
