player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Logan O'Hoppe,681351,238.67,2025-09-22,1,0,0,0,2,0,0,0,0,9,146,Unusable
Justin Turner,457759,239.35,2025-06-02,2,0,0,0,1,0,0,0,0,9,157,Unusable
Brett Baty,683146,239.56,2025-03-31,1,1,0,0,0,0,0,0,0,9,156,Unusable
Adam Frazier,624428,239.6,2025-06-30,1,1,0,0,0,0,0,0,0,9,148,Unusable
Luisangel Acuna,682668,239.64,2025-09-22,0,0,0,0,1,0,1,0,1,9,146,Unusable
Ty France,664034,239.69,2025-07-28,2,0,0,0,1,0,0,0,0,9,153,Unusable
Miguel Rojas,500743,239.78,2025-04-07,3,0,0,0,0,0,0,0,0,9,156,Unusable
Luis Rengifo,650859,239.81,2025-03-24,2,0,0,0,1,0,0,0,0,9,122,Unusable
Spencer Horwitz,687462,239.83,2025-07-14,1,0,0,0,2,0,0,0,0,9,108,Unusable
Vinny Capra,681962,239.86,2025-06-23,3,0,0,0,0,0,0,0,0,9,145,Unusable
Kevin Newman,621028,239.88,2025-07-21,1,0,0,0,0,0,2,1,0,9,142,Unusable
Curtis Mead,678554,239.94,2025-06-30,0,0,0,0,1,0,1,0,1,9,148,Unusable
Oliver Dunn,686554,239.96,2025-04-14,0,0,0,0,1,0,0,1,1,9,154,Unusable
Michael Massey,686681,239.99,2025-04-07,3,0,0,0,0,0,0,0,0,9,156,Unusable
Enrique Hernandez,571771,NA,2025-06-02,1,0,0,0,2,0,0,0,0,9,157,Unusable
Marcelo Mayer,691785,NA,2025-07-14,3,0,0,0,0,0,0,0,0,9,108,Unusable
Yoan Moncada,660162,NA,2025-07-21,0,0,0,0,2,1,0,0,0,9,142,Unusable
Yoan Moncada,660162,NA,2025-09-22,0,1,0,0,1,0,0,0,0,9,146,Unusable
Christian Moore,695681,NA,2025-06-30,0,0,0,0,3,0,0,0,0,9,148,Unusable
Christian Moore,695681,NA,2025-08-18,3,0,0,0,0,0,0,0,0,9,148,Unusable
Orlando Arcia,606115,NA,2025-09-08,3,0,0,0,0,0,0,0,0,9,141,Unusable
Isaac Collins,686555,NA,2025-03-24,1,1,0,0,0,0,0,0,0,9,122,Unusable
Tim Anderson,641313,NA,2025-04-28,3,0,0,0,0,0,0,0,0,9,158,Unusable
Liover Peguero,678894,NA,2025-05-05,2,0,0,0,0,1,0,0,0,9,159,Unusable
David Hamilton,666152,NA,2025-03-31,1,0,0,0,0,0,0,1,1,9,156,Unusable
David Hamilton,666152,NA,2025-04-07,0,0,0,0,1,0,1,0,1,9,156,Unusable
David Hamilton,666152,NA,2025-06-23,1,0,0,0,2,0,0,0,0,9,145,Unusable
Ernie Clement,676391,NA,2025-08-18,1,0,0,0,1,1,0,0,0,9,148,Unusable
Kyle Higashioka,543309,NA,2025-04-21,3,0,0,0,0,0,0,0,0,9,159,Unusable
Kyle Higashioka,543309,NA,2025-06-02,1,0,0,0,1,1,0,0,0,9,157,Unusable
Jacob Stallings,607732,NA,2025-03-31,2,0,0,0,1,0,0,0,0,9,156,Unusable
Rowdy Tellez,642133,NA,2025-05-26,3,0,0,0,0,0,0,0,0,9,145,Unusable
Rowdy Tellez,642133,NA,2025-06-16,1,0,0,0,0,0,1,0,1,9,158,Unusable
Henry Davis,680779,NA,2025-09-15,3,0,0,0,0,0,0,0,0,9,141,Unusable
Trey Sweeney,700242,NA,2025-09-22,1,0,0,0,2,0,0,0,0,9,146,Unusable
Dalton Rushing,687221,NA,2025-06-09,1,0,0,0,2,0,0,0,0,9,155,Unusable
Connor Wong,657136,NA,2025-03-31,1,0,0,0,2,0,0,0,0,9,156,Unusable
Emmanuel Rivera,656896,NA,2025-05-12,2,0,0,0,1,0,0,0,0,9,157,Unusable
Ryan Noda,676116,NA,2025-06-23,1,0,0,0,2,0,0,0,0,9,145,Unusable
Ryan Noda,676116,NA,2025-07-28,1,0,0,0,0,0,0,1,1,9,153,Unusable
Martin Maldonado,455117,NA,2025-04-14,2,0,0,0,1,0,0,0,0,9,154,Unusable
Martin Maldonado,455117,NA,2025-04-28,1,1,0,0,0,0,0,0,0,9,158,Unusable
Martin Maldonado,455117,NA,2025-06-02,1,1,0,0,0,0,0,0,0,9,157,Unusable
Austin Hedges,595978,NA,2025-09-15,1,0,0,0,2,0,0,0,0,9,141,Unusable
Luis Campusano,669134,NA,2025-04-28,0,0,0,0,3,0,0,0,0,9,158,Unusable
Luis Torrens,620443,NA,2025-04-28,0,0,0,0,3,0,0,0,0,9,158,Unusable
Luis Torrens,620443,NA,2025-06-30,2,0,0,0,1,0,0,0,0,9,148,Unusable
Luis Torrens,620443,NA,2025-07-28,2,0,0,0,1,0,0,0,0,9,153,Unusable
Luis Torrens,620443,NA,2025-08-18,1,1,0,0,0,0,0,0,0,9,148,Unusable
Dylan Moore,664238,NA,2025-03-24,2,0,0,0,1,0,0,0,0,9,122,Unusable
Travis d'Arnaud,518595,NA,2025-05-26,1,1,0,0,0,0,0,0,0,9,145,Unusable
Vidal Brujan,660644,NA,2025-04-21,1,0,0,0,0,0,1,0,1,9,159,Unusable
Vidal Brujan,660644,NA,2025-07-07,1,1,0,0,0,0,0,0,0,9,146,Unusable
Vidal Brujan,660644,NA,2025-07-21,3,0,0,0,0,0,0,0,0,9,142,Unusable
Nick Maton,665155,NA,2025-04-14,0,1,0,0,1,0,0,0,0,9,154,Unusable
Max Schuemann,680474,NA,2025-05-05,1,0,0,0,0,0,1,0,1,9,159,Unusable
Max Schuemann,680474,NA,2025-05-26,1,0,0,0,2,0,0,0,0,9,145,Unusable
Tyler Black,672012,NA,2025-08-11,0,0,0,0,3,0,0,0,0,9,147,Unusable
Luis Urias,649966,NA,2025-03-31,2,0,0,0,1,0,0,0,0,9,156,Unusable
Luis Urias,649966,NA,2025-06-30,2,0,0,0,1,0,0,0,0,9,148,Unusable
Connor Joe,656582,NA,2025-05-19,2,0,0,0,1,0,0,0,0,9,166,Unusable
Ronny Mauricio,677595,NA,2025-09-22,1,0,0,0,2,0,0,0,0,9,146,Unusable
Pedro Pages,686780,NA,2025-09-22,1,1,0,0,0,0,0,0,0,9,146,Unusable
Yuli Gurriel,493329,NA,2025-04-14,1,0,0,0,2,0,0,0,0,9,154,Unusable
Jose Trevino,624431,NA,2025-05-12,1,1,0,0,0,0,0,0,0,9,157,Unusable
Jose Trevino,624431,NA,2025-07-07,3,0,0,0,0,0,0,0,0,9,146,Unusable
Jose Trevino,624431,NA,2025-08-25,2,0,0,0,1,0,0,0,0,9,150,Unusable
Freddie Freeman,518692,26.39,2025-04-07,1,0,0,0,0,1,1,0,0,8,159,Unusable
Rafael Devers,646240,35.39,2025-03-24,0,0,0,0,2,0,0,1,0,8,125,Unusable
Marcus Semien,543760,65.54,2025-03-24,2,0,0,0,0,0,0,1,0,8,125,Unusable
Christian Walker,572233,74.01,2025-09-15,1,0,0,0,0,1,0,1,0,8,143,Unusable
Mark Vientos,668901,83.69,2025-07-14,2,0,0,0,0,0,0,1,0,8,113,Unusable
Matt McLain,680574,91.6,2025-05-26,2,0,0,0,0,0,0,1,0,8,148,Unusable
Xavier Edwards,669364,165.36,2025-09-01,1,0,0,0,1,0,1,0,0,8,146,Unusable
Carlos Correa,621043,209.38,2025-05-12,2,0,0,0,0,0,1,0,0,8,159,Unusable
Will Smith,669257,215.77,2025-09-08,0,1,0,0,0,0,1,0,0,8,142,Unusable
Matt Shaw,807713,227.33,2025-04-07,1,0,0,0,1,0,1,0,0,8,159,Unusable
Yainer Diaz,673237,234.25,2025-03-24,1,0,0,0,1,0,0,1,0,8,125,Unusable
Ryan Mountcastle,663624,234.73,2025-09-08,2,0,0,0,0,0,0,1,0,8,142,Unusable
Joey Ortiz,687401,237.06,2025-03-24,2,0,0,0,0,0,1,0,0,8,125,Unusable
Tyler Fitzgerald,666149,237.85,2025-04-28,1,0,0,0,0,1,1,0,0,8,163,Unusable
Jacob Wilson,805779,238.09,2025-07-07,1,0,0,0,0,1,1,0,0,8,150,Unusable
Christopher Morel,666624,238.29,2025-05-12,0,0,0,0,0,0,2,0,1,8,159,Unusable
Coby Mayo,691723,239.19,2025-06-30,1,0,0,0,1,0,1,0,0,8,153,Unusable
Justin Turner,457759,239.35,2025-04-14,0,0,0,0,2,0,1,0,0,8,159,Unusable
Justin Turner,457759,239.35,2025-09-08,0,1,0,0,0,0,0,1,0,8,142,Unusable
Justin Turner,457759,239.35,2025-09-22,1,0,0,0,1,0,1,0,0,8,153,Unusable
Josh Smith,669701,239.59,2025-09-15,2,0,0,0,0,0,0,1,0,8,143,Unusable
Adam Frazier,624428,239.6,2025-07-21,1,0,0,0,1,0,1,0,0,8,145,Unusable
Keibert Ruiz,660688,239.6,2025-06-30,2,0,0,0,0,0,0,1,0,8,153,Unusable
Ty France,664034,239.69,2025-07-14,1,0,0,0,0,1,1,0,0,8,113,Unusable
Sean Murphy,669221,239.72,2025-08-25,0,1,0,0,0,0,1,0,0,8,151,Unusable
Oswaldo Cabrera,665828,239.74,2025-05-12,1,0,0,0,1,0,1,0,0,8,159,Unusable
Casey Schmitt,669477,239.77,2025-05-26,1,0,0,0,1,0,1,0,0,8,148,Unusable
Miguel Rojas,500743,239.78,2025-04-21,2,0,0,0,0,0,1,0,0,8,161,Unusable
Miguel Rojas,500743,239.78,2025-05-19,1,0,0,0,1,0,1,0,0,8,167,Unusable
Miguel Rojas,500743,239.78,2025-08-04,0,1,0,0,0,0,1,0,0,8,151,Unusable
Noelvi Marte,682622,239.78,2025-06-30,0,0,0,0,2,0,0,1,0,8,153,Unusable
Bo Naylor,666310,239.8,2025-03-24,2,0,0,0,0,0,0,1,0,8,125,Unusable
Bo Naylor,666310,239.8,2025-08-18,1,0,0,0,1,0,0,1,0,8,152,Unusable
Jordan Lawlar,691783,239.81,2025-05-26,0,0,0,0,2,0,1,0,0,8,148,Unusable
Kevin Newman,621028,239.88,2025-04-28,2,0,0,0,0,0,0,1,0,8,163,Unusable
Kevin Newman,621028,239.88,2025-06-16,2,0,0,0,0,0,1,0,0,8,159,Unusable
Kevin Newman,621028,239.88,2025-07-14,2,0,0,0,0,0,1,0,0,8,113,Unusable
Elias Diaz,553869,239.91,2025-06-16,1,0,0,0,1,0,0,1,0,8,159,Unusable
Elias Diaz,553869,239.91,2025-08-11,1,0,0,0,1,0,1,0,0,8,148,Unusable
Tyler Stephenson,663886,239.91,2025-05-12,2,0,0,0,0,0,1,0,0,8,159,Unusable
